branch_id,Monetary,clv,clv_Tile,Mone_Tile,score_v1,score,score_level,cluster_labels
5534,653,217,1,1,11,2,Churned,cluster_0
5558,11691451,46640,4,4,44,8,Premium,cluster_2
5579,8895618,34368,2,3,23,5,Regular,cluster_2
5616,27855069,54281,4,4,44,8,Premium,cluster_1
5663,6807154,32896,2,3,23,5,Regular,cluster_2
5675,16966076,39405,3,4,34,7,Loyal,cluster_1
5710,7098342,36040,2,3,23,5,Regular,cluster_2
5772,6210356,38998,3,2,32,5,Regular,cluster_2
5778,4568609,34970,2,2,22,4,Regular,cluster_2
5838,1676432,30420,1,1,11,2,Churned,cluster_2
5856,5628531,39201,3,2,32,5,Regular,cluster_2
5884,5433700,39537,3,2,32,5,Regular,cluster_2
5943,2058,256,1,1,11,2,Churned,cluster_0
5949,21722813,50976,4,4,44,8,Premium,cluster_1
5964,8448396,35815,2,3,23,5,Regular,cluster_2
5970,9035092,33852,2,3,23,5,Regular,cluster_2
6035,25330630,50112,4,4,44,8,Premium,cluster_1
6071,6632184,38088,3,3,33,6,Loyal,cluster_2
6082,6864921,32798,2,3,23,5,Regular,cluster_2
6135,5207781,35840,2,2,22,4,Regular,cluster_2
6164,11665208,39192,3,4,34,7,Loyal,cluster_2
6179,29798922,50255,4,4,44,8,Premium,cluster_1
6184,31847192,50778,4,4,44,8,Premium,cluster_1
6207,6875722,39116,3,3,33,6,Loyal,cluster_2
6213,674,42,1,1,11,2,Churned,cluster_0
6224,5444350,36680,3,2,32,5,Regular,cluster_2
6233,89289,12317,1,1,11,2,Churned,cluster_0
6254,731,365,1,1,11,2,Churned,cluster_0
6376,22320817,53836,4,4,44,8,Premium,cluster_1
6380,2658896,29913,1,1,11,2,Churned,cluster_2
6407,12075430,41657,4,4,44,8,Premium,cluster_2
6465,7379997,34775,2,3,23,5,Regular,cluster_2
6466,2686217,29469,1,1,11,2,Churned,cluster_2
6468,0,0,1,1,11,2,Churned,cluster_0
6484,1584078,33530,2,1,21,3,Churned,cluster_2
6508,9316451,37940,3,3,33,6,Loyal,cluster_2
6522,6627578,36260,3,3,33,6,Loyal,cluster_2
6563,6288329,35535,2,3,23,5,Regular,cluster_2
6567,12000676,42849,4,4,44,8,Premium,cluster_2
6570,6252838,36366,3,2,32,5,Regular,cluster_2
6596,8620942,45024,4,3,43,7,Loyal,cluster_2
6604,8420725,42720,4,3,43,7,Loyal,cluster_2
6654,5976542,33792,2,2,22,4,Regular,cluster_2
6656,7752985,37985,3,3,33,6,Loyal,cluster_2
6693,4253473,29568,1,2,12,3,Churned,cluster_2
6695,6905049,35595,2,3,23,5,Regular,cluster_2
6702,39388744,58100,4,4,44,8,Premium,cluster_1
6705,3665137,35343,2,2,22,4,Regular,cluster_2
6740,8752111,39334,3,3,33,6,Loyal,cluster_2
6778,9801146,41218,4,3,43,7,Loyal,cluster_2
6829,520863,39516,3,1,31,4,Regular,cluster_2
6870,20740612,57519,4,4,44,8,Premium,cluster_1
7041,11647627,46464,4,4,44,8,Premium,cluster_2
7051,8176511,39809,3,3,33,6,Loyal,cluster_2
7076,11721,678,1,1,11,2,Churned,cluster_0
7086,5549314,44968,4,2,42,6,Loyal,cluster_2
7091,2561458,34438,2,1,21,3,Churned,cluster_2
7101,11673673,36099,2,4,24,6,Loyal,cluster_2
7119,3607203,32364,2,2,22,4,Regular,cluster_2
7136,6092041,36180,2,2,22,4,Regular,cluster_2
7167,7068827,42042,4,3,43,7,Loyal,cluster_2
7192,12794773,42000,4,4,44,8,Premium,cluster_2
7201,20667381,54843,4,4,44,8,Premium,cluster_1
7203,9972947,36855,3,4,34,7,Loyal,cluster_2
7245,16182056,45708,4,4,44,8,Premium,cluster_1
7250,9858682,43813,4,3,43,7,Loyal,cluster_2
7251,2711070,31930,2,1,21,3,Churned,cluster_2
7290,8224452,29160,1,3,13,4,Regular,cluster_2
7340,4570725,30334,1,2,12,3,Churned,cluster_2
7358,8062224,41580,4,3,43,7,Loyal,cluster_2
7372,3202382,39600,3,1,31,4,Regular,cluster_2
7412,4692460,39501,3,2,32,5,Regular,cluster_2
7439,5074359,33567,2,2,22,4,Regular,cluster_2
7453,3810251,29913,1,2,12,3,Churned,cluster_2
7470,70426,10395,1,1,11,2,Churned,cluster_0
7541,5713105,31506,1,2,12,3,Churned,cluster_2
7548,6545510,32697,2,3,23,5,Regular,cluster_2
7560,15381188,46332,4,4,44,8,Premium,cluster_1
7566,8172104,38220,3,3,33,6,Loyal,cluster_2
7604,3505943,34840,2,2,22,4,Regular,cluster_2
7631,331387,16435,1,1,11,2,Churned,cluster_0
7664,3127596,32330,2,1,21,3,Churned,cluster_2
7678,26262637,55341,4,4,44,8,Premium,cluster_1
7679,273,33,1,1,11,2,Churned,cluster_0
7682,9211233,46956,4,3,43,7,Loyal,cluster_2
7712,3331576,31436,1,2,12,3,Churned,cluster_2
7722,292030,34077,2,1,21,3,Churned,cluster_2
7802,9552028,37053,3,3,33,6,Loyal,cluster_2
7843,7885849,45684,4,3,43,7,Loyal,cluster_2
7856,4151815,31977,2,2,22,4,Regular,cluster_2
7878,10888588,39900,3,4,34,7,Loyal,cluster_2
7887,7305709,36040,2,3,23,5,Regular,cluster_2
7912,19340,5049,1,1,11,2,Churned,cluster_0
7943,6433544,35456,2,3,23,5,Regular,cluster_2
7992,10888067,46440,4,4,44,8,Premium,cluster_2
7993,14331466,41272,4,4,44,8,Premium,cluster_2
8026,9059150,39865,3,3,33,6,Loyal,cluster_2
8035,3649911,34782,2,2,22,4,Regular,cluster_2
8048,5537521,34980,2,2,22,4,Regular,cluster_2
8083,12022262,47260,4,4,44,8,Premium,cluster_2
8159,12918629,49440,4,4,44,8,Premium,cluster_2
8176,1866,810,1,1,11,2,Churned,cluster_0
8192,4399694,38988,3,2,32,5,Regular,cluster_2
8209,6339061,34170,2,3,23,5,Regular,cluster_2
8215,3524339,33536,2,2,22,4,Regular,cluster_2
8281,22400786,49155,4,4,44,8,Premium,cluster_1
8289,11718546,37260,3,4,34,7,Loyal,cluster_2
8316,19788015,52600,4,4,44,8,Premium,cluster_1
8324,28489708,53156,4,4,44,8,Premium,cluster_1
8339,10096191,40661,3,4,34,7,Loyal,cluster_2
8350,10457949,42750,4,4,44,8,Premium,cluster_2
8361,4664968,37264,3,2,32,5,Regular,cluster_2
8453,7171974,31842,2,3,23,5,Regular,cluster_2
8470,12189932,43882,4,4,44,8,Premium,cluster_2
8479,24,12,1,1,11,2,Churned,cluster_0
8482,8791809,40774,3,3,33,6,Loyal,cluster_2
8488,6437022,31868,2,3,23,5,Regular,cluster_2
8491,134278,15730,1,1,11,2,Churned,cluster_0
8539,11768975,40896,4,4,44,8,Premium,cluster_2
8558,75674,9261,1,1,11,2,Churned,cluster_0
8585,8523260,46376,4,3,43,7,Loyal,cluster_2
8615,2060483,28785,1,1,11,2,Churned,cluster_2
8646,5732715,35380,2,2,22,4,Regular,cluster_2
8647,498914,31842,2,1,21,3,Churned,cluster_2
8662,764276,25648,1,1,11,2,Churned,cluster_2
8668,8219375,34112,2,3,23,5,Regular,cluster_2
8699,4602347,37060,3,2,32,5,Regular,cluster_2
8705,6447661,36156,2,3,23,5,Regular,cluster_2
8711,14377353,43500,4,4,44,8,Premium,cluster_2
8712,8630787,42354,4,3,43,7,Loyal,cluster_2
8716,7301764,37962,3,3,33,6,Loyal,cluster_2
8732,9671094,29432,1,3,13,4,Regular,cluster_2
8768,6074466,33245,2,2,22,4,Regular,cluster_2
8796,4618662,40125,3,2,32,5,Regular,cluster_2
8807,12824187,44654,4,4,44,8,Premium,cluster_2
8813,9715571,41268,4,3,43,7,Loyal,cluster_2
8828,14140164,45264,4,4,44,8,Premium,cluster_2
8833,4852459,29870,1,2,12,3,Churned,cluster_2
8878,1674031,44556,4,1,41,5,Regular,cluster_2
8921,9171322,36856,3,3,33,6,Loyal,cluster_2
8927,9755583,39931,3,3,33,6,Loyal,cluster_2
8946,3577450,40104,3,2,32,5,Regular,cluster_2
8955,2779,370,1,1,11,2,Churned,cluster_0
8973,13284232,44148,4,4,44,8,Premium,cluster_2
9004,5069998,35108,2,2,22,4,Regular,cluster_2
9006,6407182,33327,2,3,23,5,Regular,cluster_2
9028,20302959,43168,4,4,44,8,Premium,cluster_1
9050,10235003,37170,3,4,34,7,Loyal,cluster_2
9073,7346319,35310,2,3,23,5,Regular,cluster_2
9089,48998,504,1,1,11,2,Churned,cluster_0
9092,4961862,43946,4,2,42,6,Loyal,cluster_2
9110,10800566,30385,1,4,14,5,Regular,cluster_2
9111,10709695,37808,3,4,34,7,Loyal,cluster_2
9136,6647342,34810,2,3,23,5,Regular,cluster_2
9162,9657431,43214,4,3,43,7,Loyal,cluster_2
9187,1361682,14560,1,1,11,2,Churned,cluster_0
9206,8525464,37051,3,3,33,6,Loyal,cluster_2
9215,6578794,41588,4,3,43,7,Loyal,cluster_2
9220,8926725,35584,2,3,23,5,Regular,cluster_2
9244,6878177,38850,3,3,33,6,Loyal,cluster_2
9254,13548436,42778,4,4,44,8,Premium,cluster_2
9263,4721328,34170,2,2,22,4,Regular,cluster_2
9280,8178294,42106,4,3,43,7,Loyal,cluster_2
9313,3051045,30866,1,1,11,2,Churned,cluster_2
9341,9224573,43736,4,3,43,7,Loyal,cluster_2
9375,2958279,70056,4,1,41,5,Regular,cluster_2
9381,7532240,32768,2,3,23,5,Regular,cluster_2
9417,9648688,41625,4,3,43,7,Loyal,cluster_2
9427,5790165,37520,3,2,32,5,Regular,cluster_2
9463,8093545,41475,4,3,43,7,Loyal,cluster_2
9505,516,146,1,1,11,2,Churned,cluster_0
9526,4652791,34505,2,2,22,4,Regular,cluster_2
9540,239366,31460,1,1,11,2,Churned,cluster_2
9574,202875,27783,1,1,11,2,Churned,cluster_2
9578,11672,3360,1,1,11,2,Churned,cluster_0
9599,8673642,41952,4,3,43,7,Loyal,cluster_2
9601,4667347,31146,1,2,12,3,Churned,cluster_2
9653,18777613,54500,4,4,44,8,Premium,cluster_1
9668,27794187,49920,4,4,44,8,Premium,cluster_1
9673,9242133,42846,4,3,43,7,Loyal,cluster_2
9678,4507871,37800,3,2,32,5,Regular,cluster_2
